adm,2016
AL,none
AK,none
AZ,none
AR,none
CA,"County,Municipal & Special Dist."
CO,County and Municipal
CT,Municipal
DE,none
FL,County
GA,Municipal
HI,none
ID,none
IL,none
IN,none
IA,County
KS,none
KY,none
LA,none
ME,none
MD,County
MA,Municipal
MI,County and Municipal
MN,none
MS,none
MO,State 
MT,none
NE,none
NV,none
NH,none
NJ,County and Municipal
NM,none
NY,Municipal
NC,Municipal
ND,none
OH,County and Municipal
OK,Municipal
OR,Special Dist.
PA,Municipal
RI,State
SC,County
SD,none
TN,none
TX,Municipal
UT,Municipal
VT,none
VA,County
WA,Municipal and Special Dist.
WV,none
WI,none
WY,none
